Date, Open, High, Low, Close
10/30/24, 4.259, 4.306, 4.201, 4.303
10/29/24, 4.286, 4.342, 4.251, 4.259
10/28/24, 4.246, 4.303, 4.233, 4.286
10/25/24, 4.217, 4.252, 4.177, 4.246
10/24/24, 4.243, 4.254, 4.185, 4.217
10/23/24, 4.214, 4.262, 4.210, 4.243
10/22/24, 4.206, 4.224, 4.168, 4.214
10/21/24, 4.082, 4.206, 4.080, 4.206
10/18/24, 4.096, 4.122, 4.067, 4.082
10/17/24, 4.018, 4.104, 4.018, 4.096
10/16/24, 4.037, 4.046, 3.997, 4.018
10/15/24, 4.105, 4.106, 4.029, 4.037
10/11/24, 4.065, 4.120, 4.061, 4.105
10/10/24, 4.069, 4.122, 4.054, 4.065
10/09/24, 4.017, 4.081, 4.010, 4.069
10/08/24, 4.033, 4.061, 3.999, 4.017
10/07/24, 3.962, 4.036, 3.958, 4.033
10/04/24, 3.852, 3.987, 3.837, 3.962
10/03/24, 3.788, 3.859, 3.782, 3.852
10/02/24, 3.737, 3.820, 3.727, 3.788
10/01/24, 3.787, 3.794, 3.698, 3.737
09/30/24, 3.754, 3.810, 3.751, 3.787
09/27/24, 3.800, 3.813, 3.744, 3.754
09/26/24, 3.788, 3.825, 3.756, 3.800
09/25/24, 3.733, 3.796, 3.726, 3.788
09/24/24, 3.751, 3.812, 3.730, 3.733
09/23/24, 3.744, 3.798, 3.734, 3.751
09/20/24, 3.715, 3.767, 3.704, 3.744
09/19/24, 3.705, 3.772, 3.694, 3.715
09/18/24, 3.659, 3.724, 3.637, 3.705
09/17/24, 3.623, 3.660, 3.597, 3.659
09/16/24, 3.657, 3.665, 3.614, 3.623
09/13/24, 3.678, 3.680, 3.627, 3.657
09/12/24, 3.658, 3.708, 3.641, 3.678
09/11/24, 3.650, 3.691, 3.608, 3.658
09/10/24, 3.704, 3.727, 3.639, 3.650
09/09/24, 3.713, 3.765, 3.694, 3.704
09/06/24, 3.733, 3.764, 3.650, 3.713
09/05/24, 3.759, 3.777, 3.724, 3.733
09/04/24, 3.836, 3.845, 3.757, 3.759
09/03/24, 3.911, 3.936, 3.827, 3.836
08/30/24, 3.865, 3.934, 3.854, 3.908
08/29/24, 3.840, 3.891, 3.819, 3.865
08/28/24, 3.831, 3.850, 3.807, 3.840
08/27/24, 3.818, 3.870, 3.809, 3.831
08/26/24, 3.804, 3.828, 3.778, 3.818
08/23/24, 3.857, 3.863, 3.794, 3.804
08/22/24, 3.805, 3.880, 3.792, 3.857
08/21/24, 3.810, 3.836, 3.765, 3.805
08/20/24, 3.876, 3.889, 3.810, 3.810
08/19/24, 3.885, 3.912, 3.855, 3.876
08/16/24, 3.915, 3.929, 3.866, 3.885
08/15/24, 3.840, 3.956, 3.830, 3.915
08/14/24, 3.846, 3.875, 3.806, 3.840
08/13/24, 3.908, 3.928, 3.846, 3.846
08/12/24, 3.946, 3.969, 3.899, 3.908
08/09/24, 3.997, 3.997, 3.925, 3.946
08/08/24, 3.954, 4.025, 3.897, 3.997
08/07/24, 3.897, 3.981, 3.878, 3.954
08/06/24, 3.798, 3.912, 3.795, 3.897
08/05/24, 3.793, 3.834, 3.669, 3.798
08/02/24, 3.982, 3.982, 3.789, 3.793
